chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
678,125,1,4,3,2.5,3.5,16,0.0225,1,17.8740690589,78.9924106464
679,125,1,4,3,2.5,3.5,19,0.0225,1,12.5597269625,83.9051411962
680,125,1,4,3,2.5,3.5,22,0.0225,1,25.3369272237,63.2374424799
681,125,1.5,5,1,3,4,10,0.0225,1,15.81769437,107.6385448969
682,125,1.5,5,1,3,4,13,0.0225,1,21.356615178,89.2326149101
683,125,1.5,5,1,3,4,16,0.0225,1,19.0604026846,86.4831553781
684,125,1.5,5,1,3,4,19,0.0225,1,17.3620457604,84.2488624456
685,125,1.5,5,1,3,4,22,0.0225,1,12.3655913978,89.8399884101
686,125,2,6,1.5,3.5,2,10,0.0225,1,6.220735786,128.3427103319
687,125,2,6,1.5,3.5,2,13,0.0225,1,4.1414141414,134.6752489246
688,125,2,6,1.5,3.5,2,16,0.0225,1,3.0020703934,139.895852899
689,125,2,6,1.5,3.5,2,19,0.0225,1,2.9491525424,132.892818548
690,125,2,6,1.5,3.5,2,22,0.0225,1,4.0816326531,113.561972218
691,125,2.5,2,2,4,2.5,10,0.0225,1,0.7871321013,277.69562358
692,125,2.5,2,2,4,2.5,13,0.0225,1,1.3140161725,214.4882747635
693,125,2.5,2,2,4,2.5,16,0.0225,1,1.0702341137,214.3147125222
694,125,2.5,2,2,4,2.5,19,0.0225,1,1.0007147963,206.9650135187
695,125,2.5,2,2,4,2.5,22,0.0225,1,1.0230179028,195.6513904335
696,125,3,3,2.5,2,3,10,0.0225,1,7.6815642458,182.385200424
697,125,3,3,2.5,2,3,13,0.0225,1,11.2168592794,147.299501099
698,125,3,3,2.5,2,3,16,0.0225,1,8.1911262799,152.6341160226
699,125,3,3,2.5,2,3,19,0.0225,1,11.7891816921,127.6616333085
700,125,3,3,2.5,2,3,22,0.0225,1,24.4731475187,95.3019925546
701,150,1,5,1.5,4,3,10,0.0225,1,2.1269412559,173.8967235203
702,150,1,5,1.5,4,3,13,0.0225,1,1.2153950034,192.0096096753
703,150,1,5,1.5,4,3,16,0.0225,1,1.3814016173,171.6840370047
704,150,1,5,1.5,4,3,19,0.0225,1,1.1348005502,173.1086826867
705,150,1,5,1.5,4,3,22,0.0225,1,1.4028056112,153.6042289626
706,150,1.5,6,2,2,3.5,10,0.0225,1,30.8104487609,107.2972074563
707,150,1.5,6,2,2,3.5,13,0.0225,1,55.9651474531,80.5750824945
708,150,1.5,6,2,2,3.5,16,0.0225,1,46.4572192513,80.0012358183
709,150,1.5,6,2,2,3.5,19,0.0225,1,30.8056872038,86.6349095429
710,150,1.5,6,2,2,3.5,22,0.0225,1,38.3580080754,76.6881365037
711,150,2,2,2.5,2.5,4,10,0.0225,1,23.8014854828,124.0628295541
712,150,2,2,2.5,2.5,4,13,0.0225,1,42.5963488844,93.6277227492
713,150,2,2,2.5,2.5,4,16,0.0225,1,13.7614678899,127.3253235441
714,150,2,2,2.5,2.5,4,19,0.0225,1,14.9381868132,116.9928194369
715,150,2,2,2.5,2.5,4,22,0.0225,1,25.0340599455,93.7975972439
716,150,2.5,3,3,3,2,10,0.0225,1,1.0983263598,292.9641109005
717,150,2.5,3,3,3,2,13,0.0225,1,1.4529058116,244.5295144916
718,150,2.5,3,3,3,2,16,0.0225,1,3.2565130261,174.3548192074
719,150,2.5,3,3,3,2,19,0.0225,1,3.4569138277,161.4027159581
720,150,2.5,3,3,3,2,22,0.0225,1,5.1549865229,134.5369212313
721,150,3,4,1,3.5,2.5,10,0.0225,1,1.5368852459,278.7509298748
722,150,3,4,1,3.5,2.5,13,0.0225,1,1.0767160162,287.5733456664
723,150,3,4,1,3.5,2.5,16,0.0225,1,1.255940258,254.9179890639
